-15,-54,7
-16,-55,6
-17,-55,4
-19,-59,5
-25,-58,7
-22,-60,9
-23,-61,10
-19,-64,10
-17,-64,8
-19,-62,8
-22,-64,8
-23,-62,8
-18,-60,9
-16,-57,7
-13,-59,3
-16,-64,4
-22,-60,6
-26,-56,8
-23,-58,8
-20,-63,10
-15,-64,11
-13,-63,11
-9,-60,11
-9,-54,9
-10,-57,4
-17,-63,5
-24,-59,7
-30,-55,7
-28,-56,8
-25,-57,8
-20,-66,7
-17,-64,8
-13,-63,8
-12,-60,8
-16,-58,6
-22,-59,4
-26,-57,4
-31,-55,4
-28,-56,4
-23,-60,5
-19,-60,5
-19,-62,5
-20,-60,5
-21,-59,4
-19,-60,3
-18,-62,3
-18,-62,3
-18,-60,3
-19,-61,3
-17,-61,4
-13,-63,6
-11,-64,6
-5,-67,8
-2,-68,9
1,-66,10
0,-66,11
0,-66,10
-5,-62,7
-6,-61,6
-8,-62,2
-10,-63,1
-13,-62,1
-20,-58,3
-24,-59,2
-22,-60,2
-19,-66,3
-16,-67,3
-13,-63,5
-13,-61,5
-16,-55,5
-17,-50,3
-17,-58,3
-23,-68,6
-27,-60,5
-28,-50,1
-25,-48,3
-25,-54,7
-26,-76,11
-23,-83,9
-9,-77,0
8,-73,6
6,-76,8
11,-72,13
5,-64,10
-7,-56,1
-18,-54,-6
-22,-59,-6
-26,-72,-5
-25,-82,-3
-20,-62,7
-11,-47,12
-6,-49,14
-2,-54,17
-3,-58,15
-7,-63,10
-12,-67,6
